from,to,action
"K05659","H02193",unknown
"K09341","H02160",unknown
"K17343","H01890",unknown
"K10503","H02308",unknown
"K18806","H00530",unknown
"K03068","H01742",unknown
"K18167","H02005",unknown
"K25410","H00801",unknown
"K08012","H00098",unknown
"K20405","H02214",unknown
"K05747","H00978",unknown
"K24319","H01886",unknown
"K00382","H02006",unknown
"K16597","H01563","resistance"
"K07375","H01881",unknown
"K14689","H01925",unknown
"K16364","H00865",unknown
"K25217","H00629","deletion"
"K06771","H00266",unknown
"K06834","H00481",unknown
"K08764","H00407",unknown
"K06538","H02123",unknown
"K04936","H00808",unknown
"K01593","H01161",unknown
"K16533","H00261",unknown
"K00871","H01948",unknown
"K09224","H02160",unknown
"K23484","H00865",unknown
"K24491","H00787",unknown
"K03002","H00610",unknown
"K12408","H00628",unknown
"K00922","H00014","mutation"
"K05134","H01227",unknown
"K21768","H00622",unknown
"K22990","H00831",unknown
"K18490","H00544",unknown
"K00699","H02055",unknown
"K03068","H01774",unknown
"K04841","H00265",unknown
"K03881","H01365",unknown
"K01311","H00933","polymorphism"
"K04362","H01988",unknown
"K03242","H02195",unknown
"K05677","H00628",unknown
"K10707","H00455",unknown
"K03902","H00223",unknown
"K16808","H02542","translocation"
"K01047","H02440",unknown
"K16507","H01393",unknown
"K09593","H00605",unknown
"K02332","H01389",unknown
"K19478","H00118",unknown
"K19524","H00266",unknown
"K14970","H02049",unknown
"K01755","H01398",unknown
"K19525","H00832",unknown
"K11988","H01160",unknown
"K00613","H01198",unknown
"K04686","H00620",unknown
"K00857","H00469",unknown
"K02868","H00237",unknown
"K06825","H00662",unknown
"K23328","H02139",unknown
"K08825","H02384",unknown
"K09223","H00100",unknown
"K19525","H01432",unknown
"K01334","H00104",unknown
"K12563","H00294",unknown
"K19471","H02318",unknown
"K19498","H00831",unknown
"K08825","H00773",unknown
"K04847","H00731",unknown
"K23755","H01200",unknown
"K24047","H00605",unknown
"K06752","H02424","deletion"
"K08845","H00523",unknown
"K03859","H01489",unknown
"K11268","H00572",unknown
"K01892","H02095",unknown
"K04153","H01703","polymorphism"
"K07831","H01738",unknown
"K14006","H01222",unknown
"K05443","H01468","polymorphism"
"K13421","H00198",unknown
"K18703","H00178",unknown
"K21421","H00098",unknown
"K02257","H01354",unknown
"K25430","H02358",unknown
"K05141","H00084","polymorphism"
"K13578","H02543",unknown
"K03341","H00897",unknown
"K03997","H00103",unknown
"K19469","H00409","polymorphism"
"K03883","H01356",unknown
"K08869","H01891",unknown
"K06780","H00264",unknown
"K01315","H01206",unknown
"K07201","H00037","translocation"
"K19360","H00543",unknown
"K06173","H00898",unknown
"K08735","H00020","germline mutation (HNPCC), LOH, somatic mutation"
"K04926","H00720",unknown
"K01672","H01204",unknown
"K03671","H00891",unknown
"K17343","H01768",unknown
"K00274","H00548",unknown
"K02089","H00038","mutation"
"K08851","H01722",unknown
"K01084","H00100",unknown
"K22040","H00977",unknown
"K13273","H01933",unknown
"K19410","H00452",unknown
"K07827","H02425","mutation"
"K12318","H01396",unknown
"K05449","H00535",unknown
"K07937","H00270",unknown
"K08560","H00627",unknown
"K04966","H00063",unknown
"K00907","H00292",unknown
"K01965","H00175",unknown
"K12196","H02548",unknown
"K23879","H00149",unknown
"K00869","H00206",unknown
"K12568","H00294",unknown
"K15272","H00606",unknown
"K08528","H00014","promoter hypermethylation"
"K03883","H01347",unknown
"K04362","H01756",unknown
"K11778","H00527",unknown
"K13335","H00205",unknown
"K23413","H00255",unknown
"K22495","H01282",unknown
"K04733","H00096",unknown
"K06626","H00018","amplification"
"K12843","H00527",unknown
"K08955","H01020",unknown
"K03964","H00473",unknown
"K25551","H00632",unknown
"K05309","H00025","expression"
"K10862","H01891",unknown
"K11430","H02411","mutation"
"K24552","H02449",unknown
"K01874","H00264",unknown
"K20878","H00865",unknown
"K12350","H00424",unknown
"K01102","H00072",unknown
"K23038","H00768",unknown
"K23731","H00564",unknown
"K17751","H00703",unknown
"K14970","H00045","mutation"
"K08666","H00615",unknown
"K07604","H00684",unknown
"K11810","H01202",unknown
"K18180","H01891",unknown
"K06792","H00765",unknown
"K11647","H00773",unknown
"K00453","H02545",unknown
"K24376","H00480",unknown
"K08408","H00615",unknown
"K04843","H00265",unknown
"K12035","H01677",unknown
"K01366","H00408","polymorphism"
"K05607","H00754",unknown
"K02147","H00428",unknown
"K05852","H00292",unknown
"K20091","H02360",unknown
"K19703","H00266",unknown
"K24220","H00811",unknown
"K23412","H01212",unknown
"K07765","H00740",unknown
"K08231","H00650",unknown
"K23504","H00754",unknown
"K04685","H01556","mutation"
"K04377","H00041","overexpression"
"K00746","H02551",unknown
"K07206","H00915",unknown
"K02955","H01484",unknown
"K02432","H00048","overexpression"
"K08367","H02410","mutation"
"K24466","H02513",unknown
"K20471","H02481",unknown
"K10214","H00628",unknown
"K10870","H00238",unknown
"K13044","H00593",unknown
"K10159","H01358","polymorphism"
"K10385","H00714",unknown
"K04424","H00471",unknown
"K01623","H00071",unknown
"K14229","H01347",unknown
"K20279","H01600",unknown
"K13157","H02036",unknown
"K06238","H00431","polymorphism"
"K01253","H01935",unknown
"K16834","H00486",unknown
"K10389","H01881",unknown
"K08759","H01199",unknown
"K04612","H01558",unknown
"K05443","H01476","polymorphism"
"K08055","H01303",unknown
"K19530","H00264",unknown
"K17535","H02125",unknown
"K08803","H00022","hypermethylation"
"K24425","H00734",unknown
"K17338","H00266",unknown
"K00858","H01929",unknown
"K05111","H01235",unknown
"K08734","H00876",unknown
"K08632","H02445",unknown
"K19719","H02071",unknown
"K03509","H00403",unknown
"K05126","H00910",unknown
"K04198","H00759",unknown
"K11158","H00837",unknown
"K21852","H01968",unknown
"K07433","H01633",unknown
"K17698","H00978",unknown
"K01135","H00421",unknown
"K17703","H01202",unknown
"K04377","H02434","chromosomal translocation"
"K07441","H02463",unknown
"K03165","H01395",unknown
"K10461","H00584",unknown
"K10448","H01282",unknown
"K06278","H00419",unknown
"K05416","H01360","polymorphism"
"K20174","H00604",unknown
"K04198","H00054","promoter hypermethylation"
"K08775","H02301",unknown
"K19480","H00593",unknown
"K18157","H01020",unknown
"K03068","H00031","overexpression"
"K01357","H00781",unknown
"K10843","H00866",unknown
"K05037","H01450","polymorphism"
"K12959","H00567",unknown
"K00140","H02285",unknown
"K19721","H00805",unknown
"K16573","H01880",unknown
"K19329","H01891",unknown
"K06752","H00342",unknown
"K05162","H00651",unknown
"K07379","H00865",unknown
"K00128","H00162",unknown
"K02235","H02154",unknown
"K20473","H02481",unknown
"K16684","H01556","mutation"
"K01875","H02461",unknown
"K08741","H00627",unknown
"K14569","H01896",unknown
"K19480","H01965",unknown
"K04508","H02334",unknown
"K07610","H00294",unknown
"K22593","H00773",unknown
"K17681","H02448",unknown
"K19485","H00513",unknown
"K15728","H01290",unknown
"K04380","H00057","mutation"
"K04816","H00770",unknown
"K04838","H01263",unknown
"K06538","H00082","polymorphism"
"K04371","H01738",unknown
"K04482","H00031",unknown
"K03456","H00773",unknown
"K08470","H00776",unknown
"K08601","H02342",unknown
"K18263","H00779",unknown
"K00922","H00031","mutation"
"K01323","H00938",unknown
"K04725","H00107",unknown
"K06752","H00081","polymorphism"
"K11987","H00017","overexpression"
"K23574","H01705",unknown
"K10352","H00233",unknown
"K09666","H00527",unknown
"K09653","H01188",unknown
"K11306","H01795",unknown
"K06752","H01490",unknown
"K14227","H01356",unknown
"K23803","H02224",unknown
"K10140","H01428",unknown
"K07619","H00535",unknown
"K13343","H00205",unknown
"K19675","H00527",unknown
"K17890","H00286","polymorphism"
"K05717","H02185",unknown
"K20288","H00119",unknown
"K07605","H00944",unknown
"K21878","H00779",unknown
"K09667","H00480",unknown
"K05628","H02305",unknown
"K01476","H00186",unknown
"K02264","H01368",unknown
"K06526","H00533",unknown
"K17962","H02106",unknown
"K09452","H01460",unknown
"K06278","H01619",unknown
"K15369","H00606",unknown
"K06670","H00631",unknown
"K25392","H02338",unknown
"K05082","H01605",unknown
"K24165","H00527",unknown
"K07605","H00672","polymorphism"
"K02183","H01019",unknown
"K05675","H00176",unknown
"K04345","H02049",unknown
"K24509","H01891",unknown
"K00071","H01633",unknown
"K09398","H00676",unknown
"K23505","H00473",unknown
"K16816","H01297",unknown
"K15101","H01398",unknown
"K05084","H00408","polymorphism"
"K13862","H00963",unknown
"K19519","H00955",unknown
"K07293","H01738",unknown
"K18587","H00999",unknown
"K06618","H00004","mutation"
"K10352","H01869",unknown
"K23196","H00773",unknown
"K07606","H01202",unknown
"K08011","H01167","Chronic granulomatous disease"
"K22146","H00604",unknown
"K23226","H02146",unknown
"K13899","H00821",unknown
"K03021","H00679",unknown
"K04447","H00003","mutation"
"K13516","H02516","polymorphism"
"K02633","H00688",unknown
"K07374","H00268",unknown
"K21991","H00595",unknown
"K03660","H00021",unknown
"K20686","H02353",unknown
"K17751","H00294",unknown
"K04456","H01222",unknown
"K12168","H02397",unknown
"K24594","H00768",unknown
"K23755","H02041",unknown
"K17275","H00604",unknown
"K04500","H00020","mutation"
"K09866","H01491",unknown
"K13201","H01975",unknown
"K05094","H01750",unknown
"K00965","H00070",unknown
"K09055","H00003","mutation"
"K10293","H00057",unknown
"K03754","H00869",unknown
"K13594","H00533",unknown
"K09228","H00513",unknown
"K15614","H00453",unknown
"K23542","H00119",unknown
"K07619","H00266",unknown
"K04919","H00709",unknown
"K08810","H00773",unknown
"K03662","H00119",unknown
"K13649","H01295",unknown
"K06452","H00093",unknown
"K08869","H01657",unknown
"K19026","H00266",unknown
"K10848","H00403",unknown
"K04818","H00986",unknown
"K13769","H00033","overexpression"
"K08521","H00255",unknown
"K01784","H00070",unknown
"K04358","H01905",unknown
"K05644","H00821",unknown
"K08105","H02246",unknown
"K13878","H00805",unknown
"K12162","H00679",unknown
"K09455","H01187",unknown
"K07622","H00710",unknown
"K08060","H00985",unknown
"K04368","H01512","mutation"
"K04147","H01895",unknown
"K16774","H00537",unknown
"K19674","H02157",unknown
"K08036","H00021",unknown
"K09398","H00801",unknown
"K01510","H00266",unknown
"K22544","H00290",unknown
"K08532","H02463",unknown
"K19519","H00956",unknown
"K04451","H00008","mutation"
"K22154","H00573",unknown
"K04556","H01600",unknown
"K17680","H00469",unknown
"K10848","H01428",unknown
"K08548","H02199",unknown
"K09594","H00021","germline mutation (Birt-Hogg-Dube syndrome)"
"K04252","H00976",unknown
"K05654","H00093",unknown
"K04981","H01210",unknown
"K05689","H00027",unknown
"K15612","H00002","translocation"
"K06472","H01360","polymorphism"
"K24973","H00606",unknown
"K01883","H02132",unknown
"K13201","H00594",unknown
"K23298","H00606",unknown
"K01590","H00862",unknown
"K11273","H00914",unknown
"K08110","H02326",unknown
"K12599","H01805",unknown
"K12800","H02159",unknown
"K21988","H00605",unknown
"K02085","H02302","mutation"
"K00613","H00849",unknown
"K02437","H00191",unknown
"K23881","H00266",unknown
"K01081","H00266",unknown
"K13625","H00833",unknown
"K10373","H00292",unknown
"K00850","H00069",unknown
"K03860","H01486",unknown
"K00235","H02538",unknown
"K00505","H00168",unknown
"K05461","H00884",unknown
"K15601","H02521",unknown
"K19625","H01009",unknown
"K05126","H00014","inversion"
"K09446","H01502","polymorphism"
"K18400","H02121",unknown
"K09183","H00547",unknown
"K07605","H00670",unknown
"K08041","H00605",unknown
"K07376","H00801",unknown
"K09451","H00475",unknown
"K20877","H00543",unknown
"K23970","H02396",unknown
"K23562","H02274",unknown
"K14618","H02221",unknown
"K16796","H02170",unknown
"K15297","H02469",unknown
"K00478","H00780",unknown
"K09506","H02529",unknown
"K20791","H02170",unknown
"K09295","H00929",unknown
"K07611","H01230",unknown
"K07604","H02225",unknown
"K11471","H02411","mutation"
"K11131","H00507",unknown
"K23868","H01852",unknown
"K01312","H00933","gain of function"
"K05079","H00236",unknown
"K05033","H00294",unknown
"K18408","H01282",unknown
"K10573","H00658",unknown
"K10594","H02298",unknown
"K05082","H00227",unknown
"K13443","H00136",unknown
"K07980","H01563","delayed/rapid progression"
"K08062","H00985",unknown
"K05181","H02215",unknown
"K09594","H01110",unknown
"K05065","H01466","polymorphism"
"K07604","H00724",unknown
"K04451","H01463","mutation"
"K09095","H00236",unknown
"K18245","H00436",unknown
"K19528","H01282",unknown
"K20650","H00658",unknown
"K07602","H00782",unknown
"K17547","H01959",unknown
"K04365","H01512","mutation"
"K04693","H02525",unknown
"K23864","H00831",unknown
"K04456","H01885",unknown
"K09679","H01006",unknown
"K07625","H00605",unknown
"K18165","H00473",unknown
"K01204","H00146",unknown
"K06825","H00900",unknown
"K03099","H01738",unknown
"K04904","H01573",unknown
"K00922","H00018",unknown
"K00858","H00525",unknown
"K04837","H00770",unknown
"K05468","H00344","polymorphism"
"K11757","H00021",unknown
"K12309","H00422",unknown
"K16724","H00269",unknown
"K02376","H01307",unknown
"K19364","H00266",unknown
"K06823","H00805",unknown
"K03884","H00473",unknown
"K17705","H00534",unknown
"K06752","H01504",unknown
"K03156","H00083","polymorphism"
"K22862","H00454",unknown
"K14165","H01601","translocation"
"K14615","H01277",unknown
"K07750","H02132",unknown
"K10452","H00480",unknown
"K00905","H02136",unknown
"K04345","H01235",unknown
"K24768","H02488",unknown
"K01837","H00236",unknown
"K03882","H00068",unknown
"K14387","H00770",unknown
"K08863","H01880",unknown
"K13499","H01497",unknown
"K15009","H01238",unknown
"K15616","H02046",unknown
"K08890","H00410",unknown
"K07605","H00584",unknown
"K04894","H02091",unknown
"K11644","H01861",unknown
"K06506","H00085",unknown
"K06770","H01155",unknown
"K10484","H00238",unknown
"K13504","H02397",unknown
"K05075","H02526",unknown
"K14233","H01356",unknown
"K07200","H00069",unknown
"K20398","H01218",unknown
"K23732","H00564",unknown
"K13509","H00419",unknown
"K20994","H00409","polymorphism"
"K18730","H00057",unknown
"K05401","H02536",unknown
"K14306","H01177",unknown
"K05648","H02417",unknown
"K06238","H01778",unknown
"K05689","H00026",unknown
"K17846","H01556","mutation"
"K04282","H01700",unknown
"K09526","H00057",unknown
"K06503","H02526",unknown
"K06259","H01108",unknown
"K12959","H00292",unknown
"K00231","H00202",unknown
"K00031","H01892","mutation"
"K02580","H00088",unknown
"K19656","H00529",unknown
"K21361","H00546",unknown
"K24195","H01574",unknown
"K19332","H00530",unknown
"K09680","H00833",unknown
"K15300","H00109",unknown
"K20722","H00266",unknown
"K03176","H01836",unknown
"K13811","H00522",unknown
"K19759","H00564",unknown
"K08268","H01509","overexpression"
"K09382","H02046",unknown
"K19326","H00563",unknown
"K06115","H00230",unknown
"K15687","H02018",unknown
"K11406","H00561",unknown
"K05435","H01360","polymorphism"
"K07375","H00831",unknown
"K04451","H00028","overexpression"
"K14564","H00063",unknown
"K07920","H02497",unknown
"K13341","H00207",unknown
"K21844","H00679",unknown
"K20404","H02214",unknown
"K23165","H02086",unknown
"K21283","H02481",unknown
"K02154","H00557",unknown
"K05691","H01881",unknown
"K04848","H00720",unknown
"K01937","H00093",unknown
"K21956","H00481",unknown
"K16506","H00063",unknown
"K12406","H01096",unknown
"K12396","H00166",unknown
"K05071","H00079",unknown
"K10395","H00480",unknown
"K05853","H00755",unknown
"K07962","H00530",unknown
"K06676","H00269",unknown
"K04648","H00058",unknown
"K12311","H00422",unknown
"K08023","H00900",unknown
"K00506","H00168",unknown
"K04534","H00606",unknown
"K17562","H02397",unknown
"K03871","H00021","germline mutation (VHL disease), somatic mutation"
"K00231","H01763",unknown
"K08120","H02539",unknown
"K03595","H02095",unknown
"K15980","H00525",unknown
"K04350","H02526",unknown
"K16747","H00418",unknown
"K03348","H01734",unknown
"K12165","H02459",unknown
"K21991","H01202",unknown
"K17659","H00891",unknown
"K19874","H00701",unknown
"K10897","H00019",unknown
"K20193","H00166",unknown
"K23168","H00266",unknown
"K24473","H02170",unknown
"K18261","H01965",unknown
"K04897","H00728",unknown
"K10357","H00101",unknown
"K04147","H01671","polymorphism"
"K06624","H01431",unknown
"K05495","H00549",unknown
"K19672","H02157",unknown
"K23967","H01815",unknown
"K04503","H00020",unknown
"K02833","H01592",unknown
"K08766","H00525",unknown
"K17339","H00265",unknown
"K05684","H00152",unknown
"K23588","H00002","translocation"
"K04377","H00048","amplification"
"K06789","H01477",unknown
"K03884","H01355",unknown
"K03869","H02310",unknown
"K01950","H02087",unknown
"K14020","H01705",unknown
"K11109","H00038",unknown
"K15837","H00605",unknown
"K05123","H00482",unknown
"K05612","H01450","polymorphism"
"K01764","H02170",unknown
"K10154","H00516",unknown
"K22147","H00605",unknown
"K07367","H02424","mutation"
"K25225","H00615",unknown
"K11840","H00480",unknown
"K06478","H00091","CD45"
"K05858","H00606",unknown
"K04180","H01360","polymorphism"
"K04389","H00108",unknown
"K05684","H01740",unknown
"K00444","H00485",unknown
"K09346","H01736",unknown
"K04685","H01463","mutation, deletion"
"K02085","H02049",unknown
"K02132","H01369",unknown
"K06621","H01509","overexpression"
"K05000","H02236",unknown
"K22183","H01299",unknown
"K01279","H02278",unknown
"K02954","H00891",unknown
"K20189","H00166",unknown
"K17725","H01249",unknown
"K01784","H02010",unknown
"K05126","H00032","mutation"
"K06563","H00342",unknown
"K10841","H00821",unknown
"K11130","H00507",unknown
"K11221","H00840",unknown
"K00234","H01022",unknown
"K10289","H02342",unknown
"K16746","H00418",unknown
"K09353","H00916",unknown
"K06563","H01563","susceptibility"
"K07593","H00069",unknown
"K05088","H00014","translocation"
"K06618","H00042","loss"
"K09008","H00473",unknown
"K11988","H00652",unknown
"K08060","H00630",unknown
"K01389","H00264",unknown
"K21877","H00605",unknown
"K01275","H02050",unknown
"K06621","H00048","deletion"
"K01333","H01434",unknown
"K05637","H02464",unknown
"K21988","H00604",unknown
"K01539","H00998",unknown
"K20191","H00166",unknown
"K19719","H02072",unknown
"K17407","H00891",unknown
"K05250","H01253",unknown
"K10436","H01579",unknown
"K02089","H00042","amplification"
"K00611","H01398",unknown
"K05291","H01489",unknown
"K09187","H02434","mutation"
"K04857","H00215",unknown
"K08726","H00155",unknown
"K13516","H00768",unknown
"K10356","H00626",unknown
"K00478","H00786",unknown
"K10158","H01498",unknown
"K21969","H00891",unknown
"K07368","H00093",unknown
"K02259","H01354",unknown
"K04845","H00606",unknown
"K00327","H02315",unknown
"K16056","H02258",unknown
"K06538","H00081","polymorphism"
"K14725","H02111",unknown
"K11863","H00063",unknown
"K08202","H00286","polymorphism"
"K19756","H00564",unknown
"K00710","H01439",unknown
"K12462","H01657",unknown
"K12409","H00147",unknown
"K10147","H00031",unknown
"K05644","H00481",unknown
"K19385","H00261",unknown
"K05012","H02148",unknown
"K16571","H01880",unknown
"K11430","H02410","mutation"
"K22734","H01236",unknown
"K18025","H01017",unknown
"K04451","H00020","deletion"
"K24081","H01282",unknown
"K09431","H00035","translocation"
"K09234","H01657",unknown
"K09234","H02301","mutation"
"K15603","H02160",unknown
"K09379","H00774",unknown
"K11724","H01282",unknown
"K02147","H02310",unknown
"K07748","H01917",unknown
"K05683","H00152",unknown
"K18914","H02339",unknown
"K17288","H00953",unknown
"K00653","H02534",unknown
"K10411","H00564",unknown
"K05022","H00658",unknown
"K06252","H00604",unknown
"K07614","H00731",unknown
"K02833","H01555","mutation"
"K04685","H00409","polymorphism"
"K23088","H02170",unknown
"K23168","H00833",unknown
"K05084","H00865",unknown
"K07305","H00605",unknown
"K08328","H00527",unknown
"K15840","H00063",unknown
"K00248","H01980",unknown
"K04361","H01559","amplification, overexpression"
"K00237","H01510","mutation"
"K05853","H01129",unknown
"K02125","H01369",unknown
"K16681","H00527",unknown
"K00921","H00957",unknown
"K23730","H00564",unknown
"K12309","H00421",unknown
"K17966","H01400",unknown
"K10745","H00290",unknown
"K04658","H00778",unknown
"K04863","H00728",unknown
"K13196","H01403",unknown
"K21841","H02218",unknown
"K00512","H00216",unknown
"K04556","H00057",unknown
"K16480","H00454",unknown
"K09330","H00838",unknown
"K08486","H00783",unknown
"K03156","H00079",unknown
"K17277","H00605",unknown
"K12568","H01216",unknown
"K24628","H02058",unknown
"K01868","H00891",unknown
"K23214","H00773",unknown
"K09431","H00024","translocation"
"K17719","H01205",unknown
"K02085","H00020","germline mutation (FAP), somatic mutation"
"K03878","H01365",unknown
"K24726","H00473",unknown
"K05131","H02525",unknown
"K00700","H00069",unknown
"K07934","H00418",unknown
"K04444","H01890",unknown
"K05692","H01705",unknown
"K24375","H00437",unknown
"K03988","H00102",unknown
"K05091","H00023",unknown
"K05093","H01755",unknown
"K04952","H00527",unknown
"K07827","H00030","mutation"
"K15009","H02111",unknown
"K11592","H00037",unknown
"K01279","H01891",unknown
"K06554","H00085",unknown
"K04982","H00058",unknown
"K25405","H00973",unknown
"K12828","H02410","mutation"
"K06263","H00224",unknown
"K07293","H00523",unknown
"K04874","H00749",unknown
"K06842","H00810",unknown
"K07604","H00723",unknown
"K16533","H00530",unknown
"K01872","H00606",unknown
"K04692","H01968",unknown
"K03362","H02460",unknown
"K11126","H00048","overexpression"
"K03946","H00473",unknown
"K19514","H00658",unknown
"K19942","H00564",unknown
"K23379","H00687",unknown
"K18342","H02463",unknown
"K01201","H00066","mutation"
"K24437","H00605",unknown
"K04198","H00823",unknown
"K02957","H00237",unknown
"K06825","H02228",unknown
"K03952","H00473",unknown
"K11658","H01439",unknown
"K11828","H00773",unknown
"K13757","H00971",unknown
"K13337","H00205",unknown
"K00907","H01869",unknown
"K09542","H01202",unknown
"K13823","H00229",unknown
"K23326","H02463",unknown
"K00688","H01760",unknown
"K17751","H01216",unknown
"K07605","H00726",unknown
"K10166","H01191",unknown
"K19525","H01600",unknown
"K13339","H00205",unknown
"K25178","H01922",unknown
"K25004","H00183",unknown
"K13756","H00787",unknown
"K14317","H02536",unknown
"K05062","H02060",unknown
"K12407","H01267",unknown
"K12805","H01748",unknown
"K05135","H00286",unknown
"K22262","H00269",unknown
"K19671","H00538",unknown
"K04494","H02111",unknown
"K05723","H00264",unknown
"K19928","H01897",unknown
"K04440","H01813",unknown
"K06170","H00681",unknown
"K00312","H00636",unknown
"K10106","H00560",unknown
"K10184","H01011",unknown
"K12499","H01360","polymorphism"
"K16738","H01870",unknown
"K16824","H01240",unknown
"K02367","H00122",unknown
"K06114","H00606",unknown
"K04846","H00731",unknown
"K07827","H00018","mutation"
"K02434","H00891",unknown
"K05429","H00084","polymorphism"
"K22991","H00833",unknown
"K17609","H00485",unknown
"K05661","H02001",unknown
"K01062","H00079",unknown
"K04848","H00731",unknown
"K15442","H00768",unknown
"K12316","H01940",unknown
"K00850","H01762",unknown
"K05170","H00480",unknown
"K07375","H00838",unknown
"K09228","H02460",unknown
"K05068","H00091",unknown
"K00235","H01510","mutation"
"K06244","H00615",unknown
"K18246","H00527",unknown
"K22858","H00530",unknown
"K17901","H01552",unknown
"K04250","H00527",unknown
"K07441","H00770",unknown
"K08774","H00020","overexpression"
"K05152","H02434","mutation"
"K09298","H00870",unknown
"K12382","H00057",unknown
"K05083","H01508","overexpression"
"K03849","H00545",unknown
"K14701","H02065",unknown
"K04999","H01603",unknown
"K04664","H02543",unknown
"K01555","H00165",unknown
"K10369","H00595",unknown
"K04437","H02067",unknown
"K11450","H02381",unknown
"K12590","H02549",unknown
"K10357","H01174",unknown
"K01893","H00891",unknown
"K23931","H00615",unknown
"K21863","H01922",unknown
"K04437","H00292",unknown
"K09382","H00625",unknown
"K04658","H00868",unknown
"K06618","H00036","losses, rearrangements, point mutation"
"K12024","H01439",unknown
"K11446","H00658",unknown
"K03027","H00679",unknown
"K04198","H00910",unknown
"K09183","H01926",unknown
"K10841","H00403",unknown
"K19036","H00264",unknown
"K06246","H00586",unknown
"K08283","H00773",unknown
"K01868","H00866",unknown
"K18040","H02470",unknown
"K23588","H00003",unknown
"K06621","H00038","loss/mutation"
"K10149","H00638",unknown
"K04633","H00831",unknown
"K20054","H00063",unknown
"K19398","H00418",unknown
"K09069","H02160",unknown
"K01899","H00469",unknown
"K07601","H00293","mutation"
"K20028","H00480",unknown
"K10847","H01428",unknown
"K01164","H01967",unknown
"K00948","H00196",unknown
"K11204","H01730",unknown
"K09048","H00506",unknown
"K05041","H02196",unknown
"K07951","H00418",unknown
"K02091","H00269",unknown
"K24155","H00606",unknown
"K02161","H00030","overexpression"
"K01968","H00181",unknown
"K01886","H02132",unknown
"K21598","H00246",unknown
"K14970","H01102",unknown
"K15109","H01983",unknown
"K23884","H02103",unknown
"K25292","H02172",unknown
"K07378","H02111",unknown
"K01623","H00069",unknown
"K05310","H01489",unknown
"K02157","H00048","mutation"
"K14970","H01522",unknown
"K09208","H01877",unknown
"K20303","H02470",unknown
"K23325","H01439",unknown
"K22591","H02365",unknown
"K16482","H02481",unknown
"K18660","H02109",unknown
"K13127","H00866",unknown
"K08031","H02203",unknown
"K09668","H01960",unknown
"K16499","H00606",unknown
"K24274","H02223",unknown
"K19473","H01160",unknown
"K04362","H00255",unknown
"K16488","H00418",unknown
"K03768","H00506",unknown
"K06709","H00773",unknown
"K01855","H00768",unknown
"K04837","H00744",unknown
"K10402","H01219",unknown
"K10354","H00702",unknown
"K08864","H00773",unknown
"K22410","H01216",unknown
"K05636","H00268",unknown
"K19678","H00751",unknown
"K12741","H00058",unknown
"K07188","H00420",unknown
"K05208","H00773",unknown
"K03068","H02505",unknown
"K06546","H00604",unknown
"K12172","H02536",unknown
"K07207","H01691","mutation"
"K09341","H00516",unknown
"K09224","H01678",unknown
"K16741","H00417",unknown
"K15516","H01731",unknown
"K08774","H00048","overexpression"
"K04447","H00012","mutation"
"K09451","H02160",unknown
"K04377","H00001","rearrangement"
"K06621","H00409","polymorphism"
"K07610","H00656",unknown
"K19574","H00509",unknown
"K10392","H00265",unknown
"K10055","H02542","translocation"
"K08339","H01891",unknown
"K04000","H00103",unknown
"K02993","H00237",unknown
"K09105","H00021","translocation"
"K15198","H00605",unknown
"K05070","H00091",unknown
"K05089","H01910",unknown
"K05289","H01489",unknown
"K01872","H00891",unknown
"K04368","H01745",unknown
"K00600","H02470",unknown
"K02154","H02310",unknown
"K10182","H00873",unknown
"K06482","H02500",unknown
"K19036","H00856",unknown
"K12891","H02411","mutation"
"K06243","H01657",unknown
"K22555","H00897",unknown
"K05546","H00542",unknown
"K00649","H00207",unknown
"K21098","H00480",unknown
"K10366","H01963",unknown
"K10522","H00604",unknown
"K05261","H01862",unknown
"K06580","H00232",unknown
"K00789","H00184",unknown
"K23112","H02470",unknown
"K13444","H00272",unknown
"K15607","H00002","translocation"
"K06176","H02346",unknown
"K20301","H02472",unknown
"K03879","H00068",unknown
"K04930","H00773",unknown
"K19534","H00627",unknown
"K23444","H00615",unknown
"K05031","H00218",unknown
"K06507","H00085",unknown
"K06583","H00590",unknown
"K07375","H01740",unknown
"K09189","H02535",unknown
"K10486","H02470",unknown
"K24503","H00342",unknown
"K03911","H01723","deficiency"
"K08058","H00984",unknown
"K12737","H02422",unknown
"K10165","H01309",unknown
"K09268","H00773",unknown
"K13862","H00960",unknown
"K04482","H01287",unknown
"K05126","H00247",unknown
"K19326","H01891",unknown
"K19526","H00940",unknown
"K14345","H00457",unknown
"K06580","H01214",unknown
"K19719","H00520",unknown
"K04455","H00264",unknown
"K04377","H00025","mutation"
"K22673","H00627",unknown
"K04996","H00748",unknown
"K23741","H00768",unknown
"K08146","H01532",unknown
"K18271","H02291",unknown
"K16745","H00530",unknown
"K12407","H00512",unknown
"K01189","H00125",unknown
"K06538","H01812","polymorphism"
"K17341","H00821",unknown
"K08023","H01203",unknown
"K22756","H00992",unknown
"K03842","H00118",unknown
"K07511","H00525",unknown
"K05503","H00533",unknown
"K12045","H00292",unknown
"K09268","H01403",unknown
"K13352","H00205",unknown
"K08034","H00410",unknown
"K10443","H00243",unknown
"K21412","H00269",unknown
"K19749","H01791","haploinsufficiency"
"K23217","H02412","mutation"
"K06621","H00009","deletion, promoter methylation"
"K04503","H00559","polymorphism"
