from,to,action
"K17277","H00858",unknown
"K05093","H01988",unknown
"K15692","H00606",unknown
"K06537","H00928",unknown
"K09225","H01678",unknown
"K02105","H02302","mutation"
"K19605","H00503",unknown
"K01186","H00142",unknown
"K00274","H01450","polymorphism"
"K04451","H00039","mutation"
"K10360","H00770",unknown
"K02209","H01889",unknown
"K24222","H00590",unknown
"K09867","H02266",unknown
"K10875","H02418",unknown
"K01698","H01763",unknown
"K14310","H01657",unknown
"K05016","H00436",unknown
"K09327","H00254",unknown
"K23195","H00773",unknown
"K19867","H00595",unknown
"K08550","H00031","positive"
"K10429","H00270",unknown
"K09399","H00830",unknown
"K09318","H02170",unknown
"K13340","H00205",unknown
"K08031","H01256",unknown
"K12045","H01219",unknown
"K00922","H01912",unknown
"K05706","H00170",unknown
"K04451","H00038","loss/mutation"
"K07605","H00684",unknown
"K05091","H01591",unknown
"K03120","H01243",unknown
"K00922","H01985","mutation"
"K09301","H02151",unknown
"K22913","H00271",unknown
"K21772","H00773",unknown
"K04608","H00787",unknown
"K10747","H00094",unknown
"K04456","H01909",unknown
"K24473","H01027",unknown
"K05861","H01282",unknown
"K22076","H01900",unknown
"K06679","H00024","somatic mutation"
"K00699","H02152",unknown
"K11471","H02047",unknown
"K14020","H00854",unknown
"K04503","H00017","amplification"
"K06229","H01667","mutation"
"K02432","H00031","overexpression"
"K07200","H00292",unknown
"K11988","H01027",unknown
"K01388","H00028","overexpression"
"K17622","H00604",unknown
"K04664","H00484",unknown
"K24753","H00615",unknown
"K04175","H01563","slow progression"
"K01313","H01254",unknown
"K20056","H00605",unknown
"K23910","H00211",unknown
"K01335","H00104",unknown
"K22863","H02455",unknown
"K17751","H00594",unknown
"K01110","H01463","mutation"
"K01873","H02461",unknown
"K01335","H00821",unknown
"K01749","H00202",unknown
"K05231","H01703","polymorphism"
"K15162","H01640","mutation"
"K08374","H00937",unknown
"K00819","H01400",unknown
"K10901","H00296",unknown
"K10249","H00063",unknown
"K02992","H00891",unknown
"K14381","H00437",unknown
"K17255","H00480",unknown
"K05611","H00266",unknown
"K12859","H01839",unknown
"K08374","H02018",unknown
"K02105","H00773",unknown
"K06087","H00679",unknown
"K04538","H00264",unknown
"K16769","H01857",unknown
"K18260","H00768",unknown
"K15326","H00897",unknown
"K04345","H01431",unknown
"K07434","H02020",unknown
"K04894","H00720",unknown
"K09298","H01195",unknown
"K06059","H02467",unknown
"K10352","H02051",unknown
"K17751","H01977",unknown
"K00510","H01714",unknown
"K16628","H00587",unknown
"K14156","H00590",unknown
"K01513","H02106",unknown
"K19532","H01133",unknown
"K25461","H01282",unknown
"K04567","H00605",unknown
"K23217","H00773",unknown
"K00294","H00190",unknown
"K00693","H01760",unknown
"K13534","H02516","polymorphism"
"K04833","H01818",unknown
"K12020","H00635",unknown
"K24496","H01657",unknown
"K17890","H01227",unknown
"K19866","H00557",unknown
"K20995","H01910",unknown
"K12298","H00410",unknown
"K04926","H00713",unknown
"K05463","H01992",unknown
"K05865","H00292",unknown
"K10808","H01390",unknown
"K08052","H02410","mutation"
"K01697","H00183",unknown
"K17965","H01867",unknown
"K15691","H00238",unknown
"K07827","H01738",unknown
"K09228","H01852",unknown
"K02866","H00658",unknown
"K04515","H00768",unknown
"K16539","H00527",unknown
"K19026","H00058",unknown
"K10897","H00031",unknown
"K15732","H01220",unknown
"K12816","H00897",unknown
"K23140","H00255",unknown
"K14696","H02550",unknown
"K07827","H01666","mutation"
